id,name,category,description,technical_summary,attacker_interest,exposure_level,business_risk,risk_score,confidence,severity,mitre,attack_vectors,enumeration_methods,misconfigurations,detection_methods,recommended_mitigations,references,tags,metadata,ports,common_products,cves
EME-NET-001,FTP (File Transfer Protocol),File Transfer,"Legacy file transfer service. Transmits credentials and data in cleartext unless run over explicit/implicit TLS (FTPS). Standard port(s): 21/tcp. Common implementations: vsftpd, ProFTPD, FileZilla Server, Microsoft FTP Service, Pure-FTPd.",Legacy file transfer service. Transmits credentials and data in cleartext unless run over explicit/implicit TLS (FTPS).,"Cleartext credentials, anonymous access, directory listing of sensitive files, and known server-software RCEs.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,82,high,"{""tactics"": [""Credential Access"", ""Initial Access / Persistence"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1595.001"", ""name"": ""Active Scanning: Scanning IP Blocks""}, {""id"": ""T1110"", ""name"": ""Brute Force""}, {""id"": ""T1078"", ""name"": ""Valid Accounts""}]}","[""Credential sniffing on cleartext auth"", ""Anonymous login abuse to read/write files"", ""Brute-force of FTP credentials"", ""Exploitation of known vsftpd/ProFTPD/FileZilla RCE and backdoor bugs""]","[""Banner grab for server/version"", ""Anonymous login test (`USER anonymous`)"", ""Directory/file listing via `LIST`/`NLST`""]","[""Anonymous FTP enabled with write access"", ""Cleartext FTP exposed to the internet instead of SFTP/FTPS"", ""Default or shared service-account credentials""]","[""Monitor FTP auth logs for repeated failed logins"", ""Alert on anonymous login sessions"", ""Flag unusual outbound data volume over port 21""]","[""Disable anonymous FTP"", ""Migrate to SFTP/FTPS"", ""Restrict source IPs via firewall/allowlist"", ""Enforce MFA or key-based auth where the platform supports it""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1595/001/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1078/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""cleartext"", ""file-transfer"", ""legacy""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",21/tcp,"[""vsftpd"", ""ProFTPD"", ""FileZilla Server"", ""Microsoft FTP Service"", ""Pure-FTPd""]",[]
EME-NET-002,SSH (Secure Shell),Remote Access,"Encrypted remote administration protocol; one of the most common internet-facing services and a top brute-force target. Standard port(s): 22/tcp. Common implementations: OpenSSH, Dropbear.",Encrypted remote administration protocol; one of the most common internet-facing services and a top brute-force target.,Valid credentials or weak/reused keys grant full remote shell access to the host.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,82,medium,"{""tactics"": [""Credential Access"", ""Initial Access / Persistence"", ""Lateral Movement""], ""techniques"": [{""id"": ""T1021.004"", ""name"": ""Remote Services: SSH""}, {""id"": ""T1110"", ""name"": ""Brute Force""}, {""id"": ""T1078"", ""name"": ""Valid Accounts""}]}","[""Credential brute-forcing / password spraying"", ""Exploitation of outdated OpenSSH versions"", ""Abuse of weak or leaked private keys"", ""User enumeration via timing differences in older OpenSSH versions""]","[""Banner grab for OpenSSH version"", ""Supported auth-method enumeration"", ""Username enumeration against vulnerable versions""]","[""Password authentication enabled instead of key-only"", ""Root login permitted (`PermitRootLogin yes`)"", ""Outdated OpenSSH version with known CVEs"", ""No rate-limiting/fail2ban on auth attempts""]","[""Monitor auth logs for high-volume failed logins"", ""Alert on logins from new/unusual geographies"", ""Track new SSH key additions to authorized_keys""]","[""Disable password auth in favor of key-based auth"", ""Disable root login"", ""Keep OpenSSH patched"", ""Restrict exposure via VPN/bastion and IP allowlisting"", ""Enable MFA for SSH where supported""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1021/004/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1078/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""brute-force-target"", ""encrypted"", ""remote-access""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",22/tcp,"[""OpenSSH"", ""Dropbear""]",[]
EME-NET-003,Telnet,Remote Access,"Unencrypted remote terminal protocol. Still commonly found on legacy network gear, IoT, and industrial devices. Standard port(s): 23/tcp. Common implementations: Telnetd, embedded device Telnet daemons, router/IoT management shells.","Unencrypted remote terminal protocol. Still commonly found on legacy network gear, IoT, and industrial devices.",Cleartext credentials and unauthenticated admin shells on IoT/network devices; a primary Mirai-family botnet infection vector.,Critical,"Direct path to full host/data compromise, ransomware deployment, or regulatory-scope data breach if exploited.",90,79,critical,"{""tactics"": [""Credential Access"", ""Initial Access / Persistence"", ""Lateral Movement""], ""techniques"": [{""id"": ""T1021"", ""name"": ""Remote Services""}, {""id"": ""T1110.001"", ""name"": ""Brute Force: Password Guessing""}, {""id"": ""T1078.001"", ""name"": ""Valid Accounts: Default Accounts""}]}","[""Cleartext credential sniffing"", ""Default/hardcoded credential login (common on IoT/embedded devices)"", ""Botnet recruitment (e.g. Mirai-style credential-list brute forcing)""]","[""Banner grab to fingerprint device/firmware"", ""Default credential list testing""]","[""Telnet left enabled on network/IoT devices instead of SSH"", ""Default vendor credentials never changed"", ""No network segmentation isolating management interfaces""]","[""Flag any inbound connections to port 23 as high-priority alerts"", ""Monitor for known Mirai-style credential brute-force patterns""]","[""Disable Telnet; use SSH instead"", ""Change all default device credentials"", ""Segment management interfaces off the public internet""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1021/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/001/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1078/001/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""botnet"", ""cleartext"", ""iot"", ""legacy"", ""remote-access""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",23/tcp,"[""Telnetd"", ""embedded device Telnet daemons"", ""router/IoT management shells""]",[]
EME-NET-004,SMTP (Mail Transfer),Email,"Mail transfer protocol between servers; frequently abused for open relay and user-enumeration attacks. Standard port(s): 25/tcp. Common implementations: Postfix, Exim, Sendmail, Microsoft Exchange.",Mail transfer protocol between servers; frequently abused for open relay and user-enumeration attacks.,Open relays enable spam/phishing infrastructure; VRFY/EXPN and bounce behavior can leak valid usernames.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,79,medium,"{""tactics"": [""Reconnaissance"", ""Resource Development""], ""techniques"": [{""id"": ""T1595.002"", ""name"": ""Active Scanning: Vulnerability Scanning""}, {""id"": ""T1586"", ""name"": ""Compromise Accounts""}]}","[""Open relay abuse for spam/phishing"", ""User enumeration via VRFY/EXPN or SMTP bounce differences"", ""Exploitation of known Exim/Exchange RCEs""]","[""Banner grab for MTA/version"", ""Open-relay test"", ""VRFY/EXPN username probing""]","[""Open relay allowing unauthenticated third-party mail routing"", ""Outdated MTA software with known RCEs"", ""VRFY/EXPN left enabled""]","[""Monitor for outbound spam spikes"", ""Alert on relay attempts from unauthenticated/unexpected sources""]","[""Disable open relay; require SMTP AUTH"", ""Disable VRFY/EXPN"", ""Patch MTA software regularly"", ""Implement SPF/DKIM/DMARC""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1595/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1586/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""email"", ""open-relay""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",25/tcp,"[""Postfix"", ""Exim"", ""Sendmail"", ""Microsoft Exchange""]",[]
EME-NET-005,DNS,Directory/Naming,"Domain name resolution service; a critical piece of infrastructure and a common DDoS-amplification and exfiltration channel. Standard port(s): 53/tcp,udp. Common implementations: BIND, Unbound, Microsoft DNS, PowerDNS.",Domain name resolution service; a critical piece of infrastructure and a common DDoS-amplification and exfiltration channel.,Zone transfers can leak entire internal network maps; DNS is also a common covert data-exfiltration and C2 channel.,High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,82,high,"{""tactics"": [""Command and Control"", ""Exfiltration"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1590.002"", ""name"": ""Gather Victim Network Information: DNS""}, {""id"": ""T1071.004"", ""name"": ""Application Layer Protocol: DNS""}, {""id"": ""T1048"", ""name"": ""Exfiltration Over Alternative Protocol""}]}","[""Zone transfer (AXFR) abuse to enumerate all records"", ""DNS amplification for DDoS"", ""DNS tunneling for C2/exfiltration"", ""Cache poisoning on outdated resolvers""]","[""AXFR zone transfer attempt"", ""Subdomain brute-forcing"", ""DNS record enumeration (MX, TXT, NS)""]","[""Zone transfers allowed to arbitrary hosts"", ""Open recursive resolver reachable from the internet"", ""Outdated DNS software with known cache-poisoning issues""]","[""Alert on AXFR requests from unexpected sources"", ""Monitor for high-volume/high-entropy DNS query patterns (tunneling)"", ""Track recursive query volume from external sources""]","[""Restrict zone transfers to authorized secondary servers"", ""Disable open recursion for external clients"", ""Patch DNS software"", ""Deploy DNSSEC where applicable""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1590/002/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1071/004/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1048/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""ddos-amplification"", ""directory-naming"", ""dns"", ""exfiltration""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","53/tcp,udp","[""BIND"", ""Unbound"", ""Microsoft DNS"", ""PowerDNS""]",[]
EME-NET-006,HTTP,Web,"Unencrypted web traffic. Exposure itself is normal, but cleartext transport and whatever application sits behind it define the real risk. Standard port(s): 80/tcp. Common implementations: Apache HTTP Server, Nginx, Microsoft IIS, various web app frameworks.","Unencrypted web traffic. Exposure itself is normal, but cleartext transport and whatever application sits behind it define the real risk.","Entry point to web application logic, admin panels, and any vulnerable framework/CMS/plugin running behind it.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,82,high,"{""tactics"": [""Initial Access"", ""Reconnaissance""], ""techniques"": [{""id"": ""T1190"", ""name"": ""Exploit Public-Facing Application""}, {""id"": ""T1595"", ""name"": ""Active Scanning""}]}","[""Exploitation of vulnerable web applications/CMS/plugins"", ""Credential interception (cleartext, no TLS)"", ""Admin/management panel discovery and brute force"", ""Directory/file enumeration exposing source or backups""]","[""HTTP header/banner fingerprinting"", ""Technology fingerprinting (framework, CMS, server)"", ""Directory/endpoint brute-forcing"", ""robots.txt / sitemap review""]","[""No redirect to HTTPS"", ""Exposed admin panels without IP restriction"", ""Default credentials on management interfaces"", ""Verbose error messages leaking stack traces""]","[""WAF monitoring for known exploit payloads"", ""Alert on admin-panel login attempts"", ""Monitor for directory brute-force patterns""]","[""Force HTTPS redirect"", ""Keep frameworks/CMS/plugins patched"", ""Restrict admin panels by IP/VPN"", ""Deploy a WAF""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1190/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1595/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""cleartext"", ""web""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",80/tcp,"[""Apache HTTP Server"", ""Nginx"", ""Microsoft IIS"", ""various web app frameworks""]",[]
EME-NET-007,POP3,Email,"Legacy mail retrieval protocol; cleartext unless wrapped in TLS (POP3S). Standard port(s): 110/tcp. Common implementations: Dovecot, Courier.",Legacy mail retrieval protocol; cleartext unless wrapped in TLS (POP3S).,Cleartext mailbox credentials and full mail content if intercepted.,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Collection"", ""Credential Access""], ""techniques"": [{""id"": ""T1110"", ""name"": ""Brute Force""}, {""id"": ""T1114"", ""name"": ""Email Collection""}]}","[""Cleartext credential sniffing"", ""Credential brute-forcing""]","[""Banner grab for server/version"", ""Auth-method enumeration""]","[""Cleartext POP3 exposed instead of POP3S"", ""No account lockout on repeated failed logins""]","[""Monitor for repeated failed POP3 logins""]","[""Disable plaintext POP3 in favor of POP3S (995)"", ""Enforce account lockout/rate limiting""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1110/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1114/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""cleartext"", ""email"", ""legacy""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",110/tcp,"[""Dovecot"", ""Courier""]",[]
EME-NET-008,RPCbind/Portmapper,Legacy RPC,"Maps RPC program numbers to network ports; historically paired with NFS/NIS services. Standard port(s): 111/tcp,udp. Common implementations: rpcbind.",Maps RPC program numbers to network ports; historically paired with NFS/NIS services.,"Reveals which RPC services (often NFS) are running and reachable, aiding further enumeration.",Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Discovery""], ""techniques"": [{""id"": ""T1046"", ""name"": ""Network Service Discovery""}]}","[""Service enumeration to map exposed RPC/NFS services"", ""DDoS amplification via UDP portmapper responses""]","[""`rpcinfo -p` to list registered RPC services""]","[""Portmapper exposed directly to the internet"", ""Used to front an exposed, unauthenticated NFS service""]","[""Alert on inbound rpcbind queries from external IPs""]","[""Block port 111 at the perimeter firewall"", ""Restrict RPC services to internal networks only""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""legacy"", ""legacy-rpc"", ""nfs"", ""rpc""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","111/tcp,udp","[""rpcbind""]",[]
EME-NET-009,NTP,Infrastructure,"Network Time Protocol; widely abused as a DDoS amplification vector via the monlist command on old ntpd versions. Standard port(s): 123/udp. Common implementations: ntpd, chrony.",Network Time Protocol; widely abused as a DDoS amplification vector via the monlist command on old ntpd versions.,High-amplification DDoS reflection source; also a target for time-based attack chaining (e.g. cert validation bypass).,Medium,"Moderate risk, typically requiring an additional misconfiguration or chained weakness to cause material impact.",50,76,medium,"{""tactics"": [""Impact""], ""techniques"": [{""id"": ""T1498.001"", ""name"": ""Network Denial of Service: Direct Network Flood""}]}","[""NTP amplification DDoS via `monlist`"", ""Time-source spoofing affecting certificate/logging validity""]","[""`ntpdc -c monlist` / `ntpq` version and peer queries""]","[""Legacy ntpd with monlist enabled"", ""NTP service open to the entire internet rather than trusted peers""]","[""Monitor for abnormal outbound NTP response volume (amplification abuse)""]","[""Disable monlist / upgrade to modern ntpd or chrony"", ""Restrict NTP queries to known peers""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1498/001/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""ddos-amplification"", ""infrastructure""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}",123/udp,"[""ntpd"", ""chrony""]",[]
EME-NET-010,NetBIOS (Name Service / Session),File Sharing,"Legacy Windows name resolution and session service, typically paired with SMB file sharing. Standard port(s): 137/udp, 139/tcp. Common implementations: Windows NetBIOS/SMB stack, Samba.","Legacy Windows name resolution and session service, typically paired with SMB file sharing.","Leaks hostnames, domain/workgroup names, and sometimes logged-on usernames; a stepping stone to SMB attacks.",High,"Meaningful risk of credential theft, data exposure, or lateral movement if exploited or left misconfigured.",72,79,high,"{""tactics"": [""Discovery""], ""techniques"": [{""id"": ""T1046"", ""name"": ""Network Service Discovery""}, {""id"": ""T1135"", ""name"": ""Network Share Discovery""}]}","[""NetBIOS name enumeration to map hosts/domains"", ""Null session enumeration of shares and users"", ""Pivot point into SMB-based attacks""]","[""`nbtstat`/`nmblookup` name queries"", ""Null session share enumeration""]","[""NetBIOS exposed to the internet instead of internal-only"", ""Null sessions permitted""]","[""Alert on inbound NetBIOS queries from external networks""]","[""Block ports 137-139 at the perimeter"", ""Disable NetBIOS over TCP/IP where not needed"", ""Disable null sessions""]","[{""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1046/""}, {""source"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1135/""}, {""source"": ""IANA Service Name and Transport Protocol Port Number Registry"", ""url"": ""https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml""}]","[""file-sharing"", ""legacy"", ""windows""]","{""created_by"": ""CyberEDT"", ""dataset"": ""EME"", ""verified"": true, ""version"": ""1.0""}","137/udp, 139/tcp","[""Windows NetBIOS/SMB stack"", ""Samba""]",[]
